n,m,l,equity_curve
360,3.0,0.07,2588.292811581265
360,3.0,0.04,2516.6152626700627
440,2.6,0.04,2513.3079520395117
440,2.6,0.05,2353.840494494904
380,3.0,0.07,2194.468488885143
360,2.9,0.04,2116.775612855427
360,2.9,0.07,1960.1836755348836
360,3.0,0.06,1943.2645698281524
360,2.9,0.06,1867.4087656837698
360,2.7,0.04,1855.3920624243376
360,3.3,0.07,1807.9967109826812
440,2.6,0.06,1794.6816161082777
360,2.7,0.05,1759.808223776083
360,2.7,0.06,1716.363986020133
360,2.9,0.05,1696.7228442794744
440,2.6,0.07,1652.9894913398844
370,3.0,0.07,1561.7008796223906
380,3.0,0.05,1561.235632232672
380,2.9,0.07,1560.4653710666878
360,2.7,0.07,1532.4891459335406
360,3.0,0.05,1511.0684430369329
380,3.0,0.06,1455.268745128765
360,2.6,0.04,1447.1994661005713
440,2.6,0.08,1404.5372481715133
370,3.1,0.07,1403.937191593515
370,3.0,0.05,1403.871049888251
350,3.3,0.07,1341.751549504281
300,3.3,0.07,1325.6606115354612
360,3.1,0.07,1313.0847312163942
370,2.9,0.07,1299.558269209594
370,3.0,0.06,1287.0828907162586
430,2.6,0.05,1274.0962480201808
370,2.9,0.06,1239.3373295461977
360,2.6,0.07,1214.0982274760804
370,2.6,0.04,1206.1627318168066
330,2.8,0.05,1189.5311078492218
330,3.0,0.04,1185.3591391425512
360,3.0,0.08,1182.8290455637825
360,2.6,0.06,1180.423445173745
350,2.9,0.04,1171.2185860603793
430,2.6,0.04,1169.5116316714873
380,3.0,0.08,1158.4960884603197
390,3.0,0.07,1151.353752619152
330,2.8,0.06,1135.658594606733
380,2.9,0.06,1133.1955264309356
300,3.1,0.05,1123.553092163087
380,2.9,0.05,1118.7393561156068
300,3.1,0.07,1115.8731542023495
430,2.6,0.07,1115.801794721281
340,2.7,0.06,1110.8341569409681
310,3.1,0.06,1101.9180846873574
330,2.9,0.04,1101.2852398156163
310,3.1,0.07,1092.7627091235097
360,2.6,0.05,1088.2266521728036
370,2.9,0.05,1075.7226491281042
320,2.9,0.06,1056.204713990874
400,2.6,0.07,1052.652452899246
360,2.8,0.07,1048.858352633579
300,3.1,0.06,1041.8388446599024
330,2.9,0.06,1032.5949139421675
360,3.1,0.06,1028.9302687399354
430,2.3,0.04,1023.7494266127208
330,3.0,0.06,1019.3110448702711
350,3.0,0.04,1009.334600308215
360,2.8,0.04,1003.7577724274511
370,3.1,0.05,1002.0927008292681
340,3.0,0.04,995.3068069227821
420,2.8,0.06,970.4456641353286
370,3.1,0.06,969.700521145754
420,2.6,0.05,964.3434056156133
410,2.3,0.04,963.9971906468747
430,2.7,0.07,960.8306544659786
360,3.4,0.07,955.8925240769439
380,2.8,0.07,953.3404012862006
350,2.6,0.04,951.2657887064771
300,3.3,0.05,942.2335688506987
380,2.8,0.05,938.0099570927545
440,2.5,0.04,933.1068318599292
300,3.3,0.06,925.9325350869433
350,3.5,0.07,921.8071787537552
390,2.9,0.07,921.033222538886
420,2.0,0.05,919.2264944251655
440,2.2,0.04,916.7156230479964
420,2.8,0.07,915.0371614177296
440,2.5,0.05,913.925440024197
420,1.7,0.03,910.4969866431974
320,2.9,0.05,909.2571361205304
350,3.4,0.07,907.7238029537749
380,3.1,0.07,904.9301058365885
370,3.0,0.04,904.1958776150374
360,3.4,0.06,902.0908535812146
330,3.0,0.05,900.8124649565497
360,2.1,0.03,899.6493592145366
430,2.5,0.05,899.6482648060463
350,2.9,0.07,899.1257817999318
430,2.6,0.06,896.5214677038488
360,2.8,0.06,890.4441267301848
410,2.0,0.04,889.6625214959839
350,2.9,0.05,885.6605510425885
400,2.6,0.05,882.7913514572015
